"product-card href","product-card__image-wrapper","product-card__name","product-card__availability","product-card__price","visually-hidden"
"https://earthartgems.com/products/20-sided-rutile-quartz-medallion-sterling-and-14k-rose-gold","<img src=""//earthartgems.com/cdn/shop/files/IMG_0570_480x480.jpg?v=1697653777"" alt=""20 Sided Rutile Quartz Medallion - Sterling and 14k Rose gold"" class=""product-card__image"">","20 Sided Rutile Quartz Medallion - Sterling and 14k Rose gold","Sold Out","",""
"https://earthartgems.com/products/mechanical-themed-fire-agate-ring-sterling-and-14k","<img src=""//earthartgems.com/cdn/shop/files/IMG_0609_480x480.jpg?v=1698709776"" alt=""Mechanical Themed Fire Agate Ring - Sterling and 14k"" class=""product-card__image"">","Mechanical Themed Fire Agate Ring - Sterling and 14k","Sold Out","",""
"https://earthartgems.com/products/5mm-wide-diamond-triforce-band","<img src=""//earthartgems.com/cdn/shop/files/IMG_0625_480x480.jpg?v=1699038086"" alt=""5mm wide Diamond Triforce Band"" class=""product-card__image"">","5mm wide Diamond Triforce Band","","From $375",""
"https://earthartgems.com/products/strata-mens-noir-dog-tad-pendant-sterling-silver","<img src=""//earthartgems.com/cdn/shop/files/IMG_0651_480x480.jpg?v=1699227064"" alt=""Strata - Mens Noir Dog Tad Pendant - Sterling Silver"" class=""product-card__image"">","Strata - Mens Noir Dog Tad Pendant - Sterling Silver","","$350","Regular price"
"https://earthartgems.com/products/opal-kangaroo-mosaic-signet-ring-sterling-silver","<img src=""//earthartgems.com/cdn/shop/files/IMG_0654_480x480.jpg?v=1699315487"" alt=""Opal Kangaroo Mosaic Signet ring -  Sterling Silver"" class=""product-card__image"">","Opal Kangaroo Mosaic Signet ring -  Sterling Silver","","$250","Regular price"
"https://earthartgems.com/products/landscape-jasper-statement-ring","<img src=""//earthartgems.com/cdn/shop/files/IMG_0660_480x480.jpg?v=1700089419"" alt=""Picture Jasper Landscape Statement Ring"" class=""product-card__image"">","Picture Jasper Landscape Statement Ring","Sold Out","",""
"https://earthartgems.com/products/bird-on-a-branch-opal-mosaic-signet-ring","<img src=""//earthartgems.com/cdn/shop/files/IMG_0701_480x480.jpg?v=1701283622"" alt=""Bird on a branch - Opal Mosaic Signet Ring"" class=""product-card__image"">","Bird on a branch - Opal Mosaic Signet Ring","Sold Out","",""
"https://earthartgems.com/products/opal-and-diamond-starburst-ring-14k-gold","<img src=""//earthartgems.com/cdn/shop/files/IMG_0710_480x480.jpg?v=1701295873"" alt=""Opal and Diamond Starburst Ring - 14k gold"" class=""product-card__image"">","Opal and Diamond Starburst Ring - 14k gold","","$1,175","Regular price"
"https://earthartgems.com/products/dark-mark-serpent-ring-sterling-silver","<img src=""//earthartgems.com/cdn/shop/files/IMG_0723_480x480.jpg?v=1701893838"" alt=""Dark Mark Serpent Ring - Sterling Silver"" class=""product-card__image"">","Dark Mark Serpent Ring - Sterling Silver","","$250","Regular price"
"https://earthartgems.com/products/wrench-wedding-set-diamonds-in-14k-gold","<img src=""//earthartgems.com/cdn/shop/files/mg_8722_480x480.jpg?v=1701894311"" alt=""Wrench Wedding Set - Diamonds in 14k Gold"" class=""product-card__image"">","Wrench Wedding Set - Diamonds in 14k Gold","","$1,950","Regular price"
"https://earthartgems.com/products/moonrise-landscape-pendant-with-lapis-sterling-silver","<img src=""//earthartgems.com/cdn/shop/files/IMG_0741_480x480.jpg?v=1701973332"" alt=""Moonrise Landscape Pendant with Lapis - Sterling silver"" class=""product-card__image"">","Moonrise Landscape Pendant with Lapis - Sterling silver","Sold Out","",""
"https://earthartgems.com/products/baby-groot-sterling-silver-or-gold","<img src=""//earthartgems.com/cdn/shop/files/IMG_0843_480x480.jpg?v=1706726309"" alt=""The Sapling Ring - Sterling Silver or Gold"" class=""product-card__image"">","The Sapling Ring - Sterling Silver or Gold","","$225","Regular price"
"https://earthartgems.com/products/black-and-white-clover-ring-sterling-and-topaz","<img src=""//earthartgems.com/cdn/shop/files/IMG_0847_480x480.jpg?v=1706727632"" alt=""Black and White Clover Ring - Sterling and Topaz"" class=""product-card__image"">","Black and White Clover Ring - Sterling and Topaz","","$450","Regular price"
"https://earthartgems.com/products/holy-hand-grenade-of-antioch-pendant","<img src=""//earthartgems.com/cdn/shop/files/IMG_0855_480x480.jpg?v=1706729101"" alt=""Holy Hand Grenade of Antioch Pendant!"" class=""product-card__image"">","Holy Hand Grenade of Antioch Pendant!","","From $200",""
"https://earthartgems.com/products/deluxe-house-signet-ring-the-eagle-sterling-silver-and-ancient-bronze","<img src=""//earthartgems.com/cdn/shop/files/IMG_2183_480x480.jpg?v=1751226154"" alt=""Deluxe House Signet Ring - The Raven - Sterling Silver and Ancient Bronze"" class=""product-card__image"">","Deluxe House Signet Ring - The Raven - Sterling Silver and Ancient Bronze","","From $250",""
"https://earthartgems.com/products/sapphire-chaos-signet-ring-sterling-and-14k","<img src=""//earthartgems.com/cdn/shop/files/IMG_0910_480x480.jpg?v=1708021885"" alt=""Sapphire Chaos Signet Ring - Sterling and 14k"" class=""product-card__image"">","Sapphire Chaos Signet Ring - Sterling and 14k","","$440","Regular price"
"https://earthartgems.com/products/2-4ct-green-sunstone-solitaire-ring-sterling-and-14k","<img src=""//earthartgems.com/cdn/shop/files/IMG_0943_480x480.jpg?v=1708982337"" alt=""2.4ct Green Sunstone Solitaire Ring - Sterling and 14k"" class=""product-card__image"">","2.4ct Green Sunstone Solitaire Ring - Sterling and 14k","Sold Out","",""
"https://earthartgems.com/products/1-15ct-blush-sunstone-solitaire-ring-sterling-and-14k","<img src=""//earthartgems.com/cdn/shop/files/IMG_0937_480x480.jpg?v=1708982461"" alt=""1.15ct Blush Sunstone Solitaire Ring - Sterling and 14k"" class=""product-card__image"">","1.15ct Blush Sunstone Solitaire Ring - Sterling and 14k","","$350","Regular price"
"https://earthartgems.com/products/marquise-sunstone-halo-cocktail-ring","<img src=""//earthartgems.com/cdn/shop/files/IMG_0969_480x480.jpg?v=1709839336"" alt=""Marquise Sunstone Halo Cocktail ring"" class=""product-card__image"">","Marquise Sunstone Halo Cocktail ring","","$500","Regular price"
"https://earthartgems.com/products/zelda-rupee-cut-topaz-ring","<img src=""//earthartgems.com/cdn/shop/files/IMG_1005_480x480.jpg?v=1711642614"" alt=""Zelda Rupee Cut Topaz Ring"" class=""product-card__image"">","Zelda Rupee Cut Topaz Ring","","From $400",""
